time,vout,iout
0,-6.28E-53,1.26E-54
2.00E-13,3.03E-01,6.04E-04
2.34E-13,3.54E-01,7.24E-04
2.79E-13,4.19E-01,9.10E-04
3.02E-13,4.53E-01,1.02E-03
3.33E-13,4.96E-01,1.17E-03
3.58E-13,5.31E-01,1.30E-03
3.86E-13,5.71E-01,1.46E-03
4.13E-13,6.08E-01,1.63E-03
4.43E-13,6.47E-01,1.82E-03
4.72E-13,6.86E-01,2.02E-03
5.04E-13,7.27E-01,2.24E-03
5.67E-13,8.09E-01,2.73E-03
6.41E-13,9.00E-01,3.35E-03
7.60E-13,1.041,4.50E-03
8.01E-13,1.088,4.93E-03
8.31E-13,1.122,5.27E-03
8.43E-13,1.135,5.39E-03
8.51E-13,1.144,5.48E-03
8.61E-13,1.155,5.60E-03
8.67E-13,1.162,5.67E-03
8.72E-13,1.167,5.73E-03
8.77E-13,1.172,5.79E-03
8.81E-13,1.177,5.84E-03
8.86E-13,1.182,5.89E-03
8.90E-13,1.186,5.94E-03
8.94E-13,1.191,5.99E-03
8.99E-13,1.196,6.04E-03
9.04E-13,1.202,6.10E-03
9.10E-13,1.208,6.17E-03
9.16E-13,1.214,6.25E-03
9.24E-13,1.222,6.34E-03
9.33E-13,1.232,6.45E-03
9.44E-13,1.244,6.59E-03
9.58E-13,1.259,6.76E-03
9.76E-13,1.278,6.99E-03
1.00E-12,1.303,7.30E-03
1.03E-12,1.336,7.73E-03
1.08E-12,1.378,8.29E-03
1.12E-12,1.418,8.86E-03
1.16E-12,1.458,9.45E-03
1.20E-12,1.496,1.01E-02
1.25E-12,1.54,1.08E-02
1.30E-12,1.587,1.16E-02
1.36E-12,1.64,1.25E-02
1.43E-12,1.699,1.37E-02
1.51E-12,1.764,1.50E-02
1.60E-12,1.835,1.66E-02
1.70E-12,1.912,1.85E-02
1.82E-12,1.995,2.07E-02
1.95E-12,2.084,2.33E-02
2.10E-12,2.179,2.64E-02
2.27E-12,2.278,3.00E-02
2.45E-12,2.382,3.42E-02
2.67E-12,2.489,3.91E-02
2.90E-12,2.599,4.47E-02
3.17E-12,2.712,5.13E-02
3.46E-12,2.826,5.88E-02
3.79E-12,2.943,6.74E-02
4.16E-12,3.063,7.72E-02
4.56E-12,3.187,8.84E-02
5.02E-12,3.318,1.01E-01
5.53E-12,3.459,1.15E-01
6.10E-12,3.615,1.31E-01
6.73E-12,3.793,1.48E-01
7.44E-12,4.001,1.68E-01
8.23E-12,4.251,1.89E-01
9.12E-12,4.556,2.13E-01
1.01E-11,4.932,2.39E-01
1.12E-11,5.398,2.67E-01
1.25E-11,5.977,2.97E-01
1.39E-11,6.695,3.30E-01
1.55E-11,7.582,3.67E-01
1.74E-11,8.672,4.06E-01
1.95E-11,10.01,4.49E-01
2.19E-11,11.63,4.96E-01
2.46E-11,13.51,5.49E-01
2.76E-11,15.41,6.12E-01
3.09E-11,17.15,6.87E-01
3.50E-11,19,7.86E-01
3.98E-11,20.98,9.08E-01
4.58E-11,23.33,1.058
5.29E-11,26.23,1.238
6.13E-11,29.78,1.449
7.14E-11,34.06,1.699
8.34E-11,39.15,1.996
9.77E-11,45.14,2.353
1.03E-10,47.2,2.478
1.06E-10,48.75,2.572
1.09E-10,49.82,2.638
1.11E-10,50.57,2.685
1.12E-10,51.09,2.717
1.13E-10,51.23,2.726
1.13E-10,51.34,2.733
1.13E-10,51.37,2.734
1.13E-10,51.39,2.736
1.13E-10,51.4,2.736
1.13E-10,51.41,2.737
1.13E-10,51.42,2.737
1.13E-10,51.42,2.738
1.13E-10,51.43,2.738
1.13E-10,51.43,2.738
1.13E-10,51.43,2.738
1.13E-10,51.44,2.739
1.13E-10,51.44,2.739
1.13E-10,51.45,2.739
1.13E-10,51.45,2.739
1.13E-10,51.45,2.74
1.13E-10,51.46,2.74
1.13E-10,51.46,2.74
1.13E-10,51.47,2.74
1.13E-10,51.47,2.741
1.13E-10,51.48,2.741
1.13E-10,51.48,2.741
1.13E-10,51.49,2.742
1.13E-10,51.49,2.742
1.13E-10,51.5,2.742
1.13E-10,51.5,2.743
1.13E-10,51.51,2.743
